,model_name,model_category,batch_size,model_parameters,num_inference_steps,precision,inference_time,device_to_host_time,host_to_device_time,avg_time,communication_time
90,resnet101,resnet,64,44549160.0,10,float16,0.0032454065978527067,0.00333036445081234,0.2422697961330414,0.24884556718170645,0.24560016058385373
91,resnet101,resnet,16,44549160.0,10,float32,0.014330942928791047,0.006354081630706787,0.5565178990364075,0.5772029235959053,0.5628719806671143
92,resnet101,resnet,32,44549160.0,10,float32,0.007013710588216782,0.006021525710821152,0.29671008363366125,0.30974531993269916,0.3027316093444824
93,resnet101,resnet,64,44549160.0,10,float32,0.0035806871950626374,0.006429727748036384,0.16576548367738725,0.17577589862048626,0.17219521142542363
94,resnet101,resnet,16,44549160.0,10,float64,0.008186941653490097,0.00623617172241211,0.019107264876365663,0.033530378252267866,0.025343436598777774
95,resnet101,resnet,32,44549160.0,10,float64,0.0026548571884632112,0.006243085861206055,0.01236613243818283,0.0212640754878521,0.018609218299388885
96,resnet101,resnet,64,44549160.0,10,float64,0.0027347922325134276,0.006866106763482094,0.007045384496450424,0.016646283492445946,0.013911491259932518
97,resnet152,resnet,16,60192808.0,10,bfloat16,0.02068045884370804,0.003343971073627472,0.7323443487286567,0.7563687786459923,0.7356883198022842
98,resnet152,resnet,32,60192808.0,10,bfloat16,0.01037297248840332,0.0031907670199871063,0.3982370443642139,0.4118007838726043,0.401427811384201
99,resnet152,resnet,64,60192808.0,10,bfloat16,0.005498986244201661,0.0031578835099935532,0.24599352218210696,0.2546503919363022,0.2491514056921005
100,resnet152,resnet,16,60192808.0,10,float16,0.01835455447435379,0.0035463884472846986,0.8675298988819122,0.8894308418035507,0.871076287329197
101,resnet152,resnet,32,60192808.0,10,float16,0.010492148250341416,0.0034839607775211333,0.49089909344911575,0.5048752024769783,0.49438305422663686
102,resnet152,resnet,64,60192808.0,10,float16,0.005814257264137268,0.0036595389246940613,0.28108617924153806,0.2905599754303694,0.2847457181662321
103,resnet152,resnet,16,60192808.0,10,float32,0.01987561583518982,0.006318727135658264,0.6416964709758759,0.667890813946724,0.6480151981115342
104,resnet152,resnet,32,60192808.0,10,float32,0.010569468140602112,0.006078607589006424,0.3423310831189156,0.3589791588485241,0.348409690707922
105,resnet152,resnet,64,60192808.0,10,float32,0.0056092444807291034,0.006362433359026909,0.19170192815363407,0.2036736059933901,0.198064361512661
106,resnet152,resnet,16,60192808.0,10,float64,0.020159660279750823,0.006587715446949005,0.03647605925798416,0.06322343498468398,0.043063774704933167
107,resnet152,resnet,32,60192808.0,10,float64,0.011934749037027358,0.006542360037565231,0.02204306498169899,0.04052017405629158,0.02858542501926422
108,resnet152,resnet,64,60192808.0,10,float64,0.0054477501660585405,0.006692091375589371,0.010799812152981758,0.02293965369462967,0.017491903528571127
109,resnet18,resnet,16,11689512.0,10,bfloat16,0.0034588441252708436,0.0033284887671470643,0.44479693919420243,0.4515842720866204,0.4481254279613495
110,resnet18,resnet,32,11689512.0,10,bfloat16,0.0015454739332199097,0.003137525916099548,0.2336869567632675,0.23836995661258698,0.23682448267936707
111,resnet18,resnet,64,11689512.0,10,bfloat16,0.0007582571357488632,0.003106417506933212,0.13453982770442963,0.1384045023471117,0.13764624521136284
112,resnet18,resnet,16,11689512.0,10,float16,0.0035979166626930238,0.0036146119236946106,0.5561318516731262,0.5633443802595138,0.5597464635968208
113,resnet18,resnet,32,11689512.0,10,float16,0.0017328105866909027,0.003400220721960068,0.2926312193274498,0.29776425063610074,0.29603144004940984
114,resnet18,resnet,64,11689512.0,10,float16,0.0007433380931615829,0.003368447348475456,0.15723200142383575,0.1613437868654728,0.16060044877231122
115,resnet18,resnet,16,11689512.0,10,float32,0.002916298806667328,0.006164854764938355,0.4024046376347542,0.41148579120635986,0.40856949239969254
116,resnet18,resnet,32,11689512.0,10,float32,0.0015098489820957184,0.006139279901981353,0.2072840467095375,0.21493317559361458,0.21342332661151886
117,resnet18,resnet,64,11689512.0,10,float32,0.000761561468243599,0.006597460061311722,0.10567277260124683,0.11303179413080215,0.11227023266255855
118,resnet18,resnet,16,11689512.0,10,float64,0.0032083958387374876,0.006272803246974945,0.005920034646987915,0.015401233732700349,0.01219283789396286
119,resnet18,resnet,32,11689512.0,10,float64,0.0012819424271583557,0.006154450029134751,0.002683395892381668,0.010119788348674774,0.00883784592151642
